Date,Day,Week,Month,Quarter,Activity,Platform,Content Type,Target Audience,Expected Reach,Expected Engagement,Responsible Person,Status,Notes
4/20/2026,Monday,3,April,Q2,Weekly Planning & Strategy Review,Internal,Planning,Team,N/A,N/A,Marketing Manager,Pending,Start of week planning
4/21/2026,Tuesday,3,April,Q2,Mother Group Content Posting,Mothers' Choice,Article,Mothers,50000,5000,Social Media Manager,Pending,Summer Swim Preparation
4/21/2026,Tuesday,3,April,Q2,Influencer Outreach,Instagram,Collaboration,Influencers,N/A,N/A,Marketing Manager,Pending,Identify 5 potential partners
4/22/2026,Wednesday,3,April,Q2,Google Ads Campaign Review,Google Ads,Campaign,All,N/A,N/A,Ads Manager,Pending,Optimize high-intent keywords
4/23/2026,Thursday,3,April,Q2,Video Content Creation,YouTube,Masterclass,All,N/A,N/A,Content Creator,Pending,Summer Swim Preparation Masterclass
4/24/2026,Friday,3,April,Q2,Weekly Performance Review,Internal,Analytics,Team,N/A,N/A,Marketing Manager,Pending,Review metrics and adjust
4/25/2026,Saturday,3,April,Q2,Open Water Swim Event,Meetup,Event,Community,100,50,Event Coordinator,Pending,Deep Water Bay swim
4/26/2026,Sunday,3,April,Q2,Community Sunday Post,Instagram,Carousel,Community,9000,900,Social Media Manager,Pending,Referral program highlight
4/27/2026,Monday,4,April,Q2,Weekly Planning,Internal,Planning,Team,N/A,N/A,Marketing Manager,Pending,Week 4 planning
4/28/2026,Tuesday,4,April,Q2,Instagram Reel - Technique,Instagram,Reel,All,5000,500,Content Creator,Pending,Freestyle stroke breakdown
4/28/2026,Tuesday,4,April,Q2,TikTok Video - Transformation,TikTok,Video,All,30000,2400,Content Creator,Pending,Student success story
4/29/2026,Wednesday,4,April,Q2,Blog Post Publication,Website,Blog,All,N/A,N/A,Content Writer,Pending,Summer Swim Tips
4/30/2026,Thursday,4,April,Q2,Facebook Live Q&A,Facebook,Live,Mothers,5000,500,Marketing Manager,Pending,Summer preparation questions
5/1/2026,Friday,1,May,Q2,Swimming Festival Launch,Event,Event,Community,500,250,Event Coordinator,Pending,Major swimming festival begins
5/2/2026,Saturday,1,May,Q2,Swimming Festival Day 2,Event,Event,Community,500,250,Event Coordinator,Pending,Festival continuation
5/3/2026,Sunday,1,May,Q2,Festival Highlights Post,Instagram,Carousel,Community,15000,1500,Social Media Manager,Pending,Festival celebration
5/4/2026,Monday,1,May,Q2,Weekly Planning,Internal,Planning,Team,N/A,N/A,Marketing Manager,Pending,Post-festival planning
5/5/2026,Tuesday,1,May,Q2,Mother Group Content,Little Steps,Article,Parents,30000,3000,Social Media Manager,Pending,Summer Camp Benefits
5/5/2026,Tuesday,1,May,Q2,Summer Camp Campaign Launch,All Channels,Campaign,All,N/A,N/A,Marketing Manager,Pending,Early bird discount promotion
5/6/2026,Wednesday,1,May,Q2,Blog Post,Website,Blog,All,N/A,N/A,Content Writer,Pending,Summer Camp Guide
5/7/2026,Thursday,1,May,Q2,YouTube Video,YouTube,Success Story,All,5000,500,Content Creator,Pending,Student transformation interview
5/8/2026,Friday,1,May,Q2,Weekly Review,Internal,Analytics,Team,N/A,N/A,Marketing Manager,Pending,Week 1 metrics
5/9/2026,Saturday,1,May,Q2,Open Water Swim,Meetup,Event,Community,100,50,Event Coordinator,Pending,Repulse Bay swim
5/10/2026,Sunday,1,May,Q2,Community Post,Instagram,Carousel,Community,9000,900,Social Media Manager,Pending,Testimonial feature
5/11/2026,Monday,2,May,Q2,Weekly Planning,Internal,Planning,Team,N/A,N/A,Marketing Manager,Pending,Week 2 planning
5/12/2026,Tuesday,2,May,Q2,Mother Group Content,Hong Kong Moms,Article,Mothers,100000,10000,Social Media Manager,Pending,Summer Swimming Adventure
5/12/2026,Tuesday,2,May,Q2,Influencer Collaboration,Instagram,Post,Influencers,10000,1000,Marketing Manager,Pending,Feature local fitness influencer
5/13/2026,Wednesday,2,May,Q2,Google Ads Optimization,Google Ads,Campaign,All,N/A,N/A,Ads Manager,Pending,Test new ad copy
5/14/2026,Thursday,2,May,Q2,YouTube Video,YouTube,Success Story,All,5000,500,Content Creator,Pending,Summer camp preview
5/15/2026,Friday,2,May,Q2,Weekly Review,Internal,Analytics,Team,N/A,N/A,Marketing Manager,Pending,Week 2 metrics
5/16/2026,Saturday,2,May,Q2,Open Water Swim,Meetup,Event,Community,100,50,Event Coordinator,Pending,Shek O swim
5/17/2026,Sunday,2,May,Q2,Community Post,Instagram,Carousel,Community,9000,900,Social Media Manager,Pending,Referral leaderboard
5/18/2026,Monday,3,May,Q2,Weekly Planning,Internal,Planning,Team,N/A,N/A,Marketing Manager,Pending,Week 3 planning
5/19/2026,Tuesday,3,May,Q2,Mother Group Content,Expat Moms,Article,Expat Parents,50000,5000,Social Media Manager,Pending,Summer Activities for Expat Kids
5/19/2026,Tuesday,3,May,Q2,School Partnership Outreach,Email,Outreach,Schools,N/A,N/A,Partnership Manager,Pending,Contact 5 target schools
5/20/2026,Wednesday,3,May,Q2,Blog Post,Website,Blog,All,N/A,N/A,Content Writer,Pending,Choosing Summer Programs
5/21/2026,Thursday,3,May,Q2,Facebook Event Announcement,Facebook,Post,All,10000,1000,Social Media Manager,Pending,Summer camp announcement
5/22/2026,Friday,3,May,Q2,Weekly Review,Internal,Analytics,Team,N/A,N/A,Marketing Manager,Pending,Week 3 metrics
5/23/2026,Saturday,3,May,Q2,Open Water Swim,Meetup,Event,Community,100,50,Event Coordinator,Pending,Tai Tam swim
5/24/2026,Sunday,3,May,Q2,Community Post,Instagram,Carousel,Community,9000,900,Social Media Manager,Pending,Summer camp highlights
5/25/2026,Monday,4,May,Q2,Weekly Planning,Internal,Planning,Team,N/A,N/A,Marketing Manager,Pending,Week 4 planning
5/26/2026,Tuesday,4,May,Q2,Mother Group Content,International Schools,Article,School Parents,30000,3000,Social Media Manager,Pending,Summer Swimming Excellence
5/26/2026,Tuesday,4,May,Q2,School Partnership Meetings,Email,Meeting,Schools,N/A,N/A,Partnership Manager,Pending,Meet with 3 schools
5/27/2026,Wednesday,4,May,Q2,Blog Post,Website,Blog,All,N/A,N/A,Content Writer,Pending,School Summer Programs
5/28/2026,Thursday,4,May,Q2,YouTube Masterclass,YouTube,Masterclass,All,8000,800,Content Creator,Pending,Summer Technique Masterclass
5/29/2026,Friday,4,May,Q2,Monthly Review,Internal,Analytics,Team,N/A,N/A,Marketing Manager,Pending,May performance review
5/30/2026,Saturday,4,May,Q2,Open Water Swim,Meetup,Event,Community,100,50,Event Coordinator,Pending,Monthly swim event
5/31/2026,Sunday,4,May,Q2,Community Post,Instagram,Carousel,Community,12000,1200,Social Media Manager,Pending,May celebration
